user_id,first_name,last_name,gender,email,signup_date,country,device,source,activated,activation_date,pro_feature_tried,trial_started,trial_start_date,converted,converted_date,trigger_ft,plan_type,plan_upgrade_history,final_plan,monthly_revenue,total_upgrades,upgraded_from_free,upgraded_from_pro,upgraded_from_teams,upgrade_path,direct_free_to_teams,direct_free_to_ep,direct_pro_to_ep
7e843518-772b-473e-8c3a-537d9a1a6700,Brittany,Houston,Female,brittany.houston@yahoo.com,2024-07-14,Germany,Mobile,Facebook Ads,True,2024-07-17,False,False,,False,,,Free,[],Free,0.0,0,False,False,False,,False,False,False
c231ce0e-7efa-4146-896a-e628b2b9c915,Rachel,Pugh,Female,rachel.pugh@yahoo.com,2024-11-11,India,Mobile,Google Ads,True,2024-11-11,False,False,,False,,,Free,[],Free,0.0,0,False,False,False,,False,False,False
0b1ffa0c-f1ea-40c6-a3a2-a82ed2253c41,Julia,Higgins,Female,julia.higgins@yahoo.com,2025-03-08,UK,Mobile,Instagram Ads,True,2025-03-09,True,True,2025-03-12,False,,,Free,[],Free,0.0,0,False,False,False,,False,False,False
e186d0cb-e013-471a-b7fd-8fb83ab44272,Victoria,Whitehead,Female,victoria.whitehead@hotmail.com,2025-04-07,Germany,Mobile,Referral,False,,False,False,,False,,,Free,[],Free,0.0,0,False,False,False,,False,False,False
746dd096-aa3d-4ec6-bce9-1bdb4ac1ac5e,James,Solis,Male,james.solis@gmail.com,2025-03-16,India,Tablet,Instagram Ads,True,2025-03-21,False,False,,False,,,Free,[],Free,0.0,0,False,False,False,,False,False,False
fb3b56d4-dd0b-4f21-b212-45cf97942724,Anna,Brooks,Female,anna.brooks@gmail.com,2025-05-04,India,Tablet,Facebook Ads,True,2025-05-09,True,True,2025-05-15,False,,,Free,[],Free,0.0,0,False,False,False,,False,False,False
717aa204-f4ef-42d0-b059-c5ef55417782,Katie,Smith,Female,katie.smith@hotmail.com,2025-06-09,India,Tablet,Instagram Ads,True,2025-06-11,True,False,,False,,,Free,[],Free,0.0,0,False,False,False,,False,False,False
3ab8cf8e-8354-4d90-bd8c-a07856c8d25b,Brian,Shelton,Male,brian.shelton@yahoo.com,2024-08-27,Germany,Tablet,Youtube Ads,True,2024-08-31,False,False,,False,,,Free,[],Free,0.0,0,False,False,False,,False,False,False
ceaebd28-07e9-462c-8931-dbb05673b297,Gregory,Bradford,Male,gregory.bradford@yahoo.com,2024-07-16,US,Mobile,Google Ads,True,2024-07-21,True,True,2024-07-23,True,2024-07-29,Premium Templates,Free,"[{'from': 'Free', 'to': 'Pro', 'date': '2024-07-29'}, {'from': 'Pro', 'to': 'Teams', 'date': '2024-08-18'}, {'from': 'Teams', 'to': 'Enterprise', 'date': '2024-09-08'}]",Enterprise,149.99,3,True,True,True,Free→Pro → Pro→Teams → Teams→Enterprise,False,False,False
e03e1dbb-46a8-4fc8-86a9-2d80b9dda567,Jaclyn,Johnson,Female,jaclyn.johnson@gmail.com,2025-04-08,US,Tablet,Youtube Ads,True,2025-04-08,False,False,,False,,,Free,[],Free,0.0,0,False,False,False,,False,False,False
9ad0d24a-0945-473e-9440-dcfef37fdfb9,Rose,Wheeler,Female,rose.wheeler@gmail.com,2024-09-15,Germany,Mobile,Youtube Ads,True,2024-09-15,False,False,,True,2024-10-12,Brand Kit,Free,"[{'from': 'Free', 'to': 'Pro', 'date': '2024-10-12'}, {'from': 'Pro', 'to': 'Teams', 'date': '2024-11-10'}]",Teams,59.99,2,True,True,False,Free→Pro → Pro→Teams,False,False,False
e64699e1-e1e3-4dd1-ab6e-bc2e0dac2b37,Joseph,Williams,Male,joseph.williams@hotmail.com,2025-03-30,US,Desktop,Facebook Ads,True,2025-04-01,False,False,,True,2025-04-12,Brand Kit,Free,"[{'from': 'Free', 'to': 'Pro', 'date': '2025-04-12'}]",Pro,29.99,1,True,False,False,Free→Pro,False,False,False
22578895-d928-46bd-9e49-fd670210d38f,Aaron,Allen,Male,aaron.allen@gmail.com,2025-06-05,Germany,Desktop,Google Ads,True,2025-06-09,False,False,,False,,,Free,[],Free,0.0,0,False,False,False,,False,False,False
0baef765-af02-4e82-a557-43f52abf0d1f,Anna,Ramirez,Female,anna.ramirez@hotmail.com,2025-01-16,US,Desktop,Facebook Ads,True,2025-01-18,False,False,,True,2025-02-01,Content Scheduler,Free,"[{'from': 'Free', 'to': 'Pro', 'date': '2025-02-01'}]",Pro,29.99,1,True,False,False,Free→Pro,False,False,False
